x,h,j
1.621926389371025e-10,-4.384408687563549e-21,-2.6306452125381296e-21
1.626171867083639e-10,-4.407391568823814e-21,-2.6444349412942883e-21
1.6304284575576747e-10,-4.430494925356496e-21,-2.658296955213898e-21
1.634696189881363e-10,-4.453719388687741e-21,-2.672231633212645e-21
1.6389750932190956e-10,-4.4770655936542385e-21,-2.6862393561925432e-21
1.6432651968115834e-10,-4.500534178420353e-21,-2.7003205070522123e-21
1.647566529976076e-10,-4.52412578449568e-21,-2.714475470697408e-21
1.6518791221065823e-10,-4.547841056752688e-21,-2.728704634051613e-21
1.6562030026740326e-10,-4.571680643444135e-21,-2.7430083860664815e-21
1.6605382012264976e-10,-4.595645196220887e-21,-2.7573871177325325e-21
1.6648847473894127e-10,-4.619735370149847e-21,-2.7718412220899085e-21
1.669242670865732e-10,-4.643951823731604e-21,-2.786371094238963e-21
1.6736120014361859e-10,-4.6682952189187266e-21,-2.800977131351236e-21
1.6779927689594372e-10,-4.692766221133598e-21,-2.8156597326801592e-21
1.682385003372305e-10,-4.717365499286717e-21,-2.8304192995720305e-21
1.6867887346899902e-10,-4.742093725795097e-21,-2.8452562354770584e-21
1.6912039930062397e-10,-4.7669515766004146e-21,-2.8601709459602492e-21
1.695630808493572e-10,-4.7919397311876075e-21,-2.8751638387125647e-21
1.7000692114035046e-10,-4.817058872603557e-21,-2.8902353235621342e-21
1.7045192320667198e-10,-4.842309687475533e-21,-2.90538581248532e-21
1.7089809008932912e-10,-4.8676928660300746e-21,-2.920615719618045e-21
1.7134542483729132e-10,-4.893209102111975e-21,-2.935925461267185e-21
1.7179393050750616e-10,-4.918859093202976e-21,-2.9513154559217854e-21
1.7224361016492564e-10,-4.944643540441145e-21,-2.9667861242646875e-21
1.7269446688252241e-10,-4.970563148639772e-21,-2.9823378891838636e-21
1.731465037413127e-10,-4.996618626306735e-21,-2.9979711757840414e-21
1.7359972383037966e-10,-5.0228106856640144e-21,-3.013686411398409e-21
1.7405413024689012e-10,-5.0491400426668984e-21,-3.0294840256001394e-21
1.745097260961179e-10,-5.0756074170236816e-21,-3.0453644502142096e-21
1.749665144914672e-10,-5.102213532215467e-21,-3.0613281193292803e-21
1.7542449855448954e-10,-5.128959115515683e-21,-3.07737546930941e-21
1.7588368141490727e-10,-5.155844898010099e-21,-3.0935069388060596e-21
1.7634406621063716e-10,-5.18287161461693e-21,-3.1097229687701583e-21
1.7680565608780673e-10,-5.210040004106631e-21,-3.126024002463979e-21
1.772684542007815e-10,-5.237350809122428e-21,-3.142410485473457e-21
1.777324637121816e-10,-5.264804776200324e-21,-3.1588828657201947e-21
1.7819768779290543e-10,-5.292402655789633e-21,-3.17544159347378e-21
1.7866412962215362e-10,-5.320145202273618e-21,-3.192087121364171e-21
1.7913179238744631e-10,-5.348033173989861e-21,-3.208819904393917e-21
1.7960067928464713e-10,-5.376067333251113e-21,-3.225640399950668e-21
1.800707935179873e-10,-5.404248446366269e-21,-3.2425490678197616e-21
1.80542138300083e-10,-5.4325772836610486e-21,-3.2595463701966297e-21
1.8101471685195965e-10,-5.461054619499187e-21,-3.2766327716995126e-21
1.8148853240307608e-10,-5.489681232303732e-21,-3.2938087393822395e-21
1.8196358819134147e-10,-5.518457904578017e-21,-3.3110747427468102e-21
1.8243988746314332e-10,-5.5473854229273994e-21,-3.32843125375644e-21
1.8291743347336453e-10,-5.576464578080456e-21,-3.345878746848274e-21
1.8339622948540775e-10,-5.605696164910723e-21,-3.3634176989464344e-21
1.8387627877122009e-10,-5.635080982458573e-21,-3.381048589475144e-21
1.8435758461131087e-10,-5.664619833952774e-21,-3.398771900371665e-21
1.848401502947763e-10,-5.694313526832582e-21,-3.41658811609955e-21
1.8532397911932428e-10,-5.724162872769957e-21,-3.434497723661974e-21
1.8580907439129153e-10,-5.754168687691419e-21,-3.452501212614852e-21
1.8629543942567242e-10,-5.78433179180073e-21,-3.4705990750804385e-21
1.8678307754613609e-10,-5.814653009600981e-21,-3.488791805760589e-21
1.8727199208505167e-10,-5.845133169917276e-21,-3.507079901950366e-21
1.8776218638351318e-10,-5.875773105919523e-21,-3.525463863551714e-21
1.8825366379135782e-10,-5.906573655144931e-21,-3.543944193086959e-21
1.887464276671912e-10,-5.9375356595210395e-21,-3.562521395712624e-21
1.8924048137841254e-10,-5.968659965388883e-21,-3.5811959792333304e-21
1.897358283012331e-10,-5.999947423525834e-21,-3.599968454115501e-21
1.9023247182070155e-10,-6.031398889169002e-21,-3.618839333501401e-21
1.9073041533072946e-10,-6.0630152220387595e-21,-3.637809133223256e-21
1.9122966223410894e-10,-6.0947972863618975e-21,-3.656878371817139e-21
1.9173021594254232e-10,-6.1267459508956504e-21,-3.676047570537391e-21
1.9223207987665983e-10,-6.1588620889510865e-21,-3.695317253370652e-21
1.927352574660454e-10,-6.1911465784171336e-21,-3.7146879470502805e-21
1.932397521492624e-10,-6.223600301784727e-21,-3.734160181070837e-21
1.937455673738725e-10,-6.256224146170628e-21,-3.7537344877023766e-21
1.9425270659646153e-10,-6.2890190033418286e-21,-3.773411402005097e-21
1.9476117328266548e-10,-6.3219857697400746e-21,-3.793191461844045e-21
1.9527097090718947e-10,-6.355125346506072e-21,-3.813075207903643e-21
1.957821029538338e-10,-6.388438639504263e-21,-3.833063183702558e-21
1.9629457291552027e-10,-6.421926559347751e-21,-3.8531559356086506e-21
1.9680838429431028e-10,-6.45559002142282e-21,-3.8733540128536925e-21
1.9732354060143537e-10,-6.489429945914385e-21,-3.893657967548631e-21
1.978400453573154e-10,-6.523447257830769e-21,-3.914068354698461e-21
1.9835790209158522e-10,-6.557642887029151e-21,-3.934585732217491e-21
1.9887711434312105e-10,-6.59201776824114e-21,-3.955210660944684e-21
1.993976856600599e-10,-6.626572841098009e-21,-3.975943704658806e-21
1.9991961959982616e-10,-6.661309050156532e-21,-3.99678543009392e-21
2.0044291972915846e-10,-6.696227344924977e-21,-4.0177364069549866e-21
2.009675896241283e-10,-6.7313286798886735e-21,-4.038797207933204e-21
2.0149363287017097e-10,-6.76661401453654e-21,-4.0599684087219246e-21
2.020210530621044e-10,-6.802084313386934e-21,-4.081250588032161e-21
2.0254985380415612e-10,-6.837740546014169e-21,-4.102644327608502e-21
2.0308003870999036e-10,-6.873583687075197e-21,-4.124150212245119e-21
2.0361161140272794e-10,-6.909614716335915e-21,-4.145768829801549e-21
2.0414457551497325e-10,-6.945834618698102e-21,-4.167500771218862e-21
2.0467893468884177e-10,-6.982244384226525e-21,-4.189346630535915e-21
2.0521469257597995e-10,-7.01884500817566e-21,-4.2113070049053964e-21
2.0575185283759254e-10,-7.055637491017055e-21,-4.2333824946102334e-21
2.0629041914447026e-10,-7.09262283846687e-21,-4.2555737030801226e-21
2.068303951770089e-10,-7.129802061512944e-21,-4.277881236907767e-21
2.073717846252413e-10,-7.16717617644291e-21,-4.300305705865746e-21
2.079145911888566e-10,-7.204746204871561e-21,-4.322847722922938e-21
2.0845881857722809e-10,-7.242513173768949e-21,-4.34550790426137e-21
2.0900447050944103e-10,-7.280478115488634e-21,-4.368286869293181e-21
2.0955155071431313e-10,-7.318642067795557e-21,-4.391185240677335e-21
2.1010006293042234e-10,-7.35700607389457e-21,-4.4142036443367426e-21
2.1065001090613524e-10,-7.39557118245915e-21,-4.43734270947549e-21
2.112013983996273e-10,-7.43433844765968e-21,-4.460603068595809e-21
2.1175422917891123e-10,-7.473308929192477e-21,-4.483985357515487e-21
2.123085070218653e-10,-7.512483692308903e-21,-4.507490215385343e-21
2.1286423571625308e-10,-7.551863807844091e-21,-4.531118284706456e-21
2.1342141905975638e-10,-7.591450352246689e-21,-4.554870211348014e-21
2.1398006085999495e-10,-7.631244407607857e-21,-4.5787466445647145e-21
2.1454016493455518e-10,-7.671247061691023e-21,-4.6027482370146145e-21
2.1510173511101887e-10,-7.71145940796182e-21,-4.626875644777093e-21
2.1566477522698405e-10,-7.751882545617592e-21,-4.651129527370556e-21
2.1622928913009388e-10,-7.792517579617623e-21,-4.675510547770574e-21
2.1679528067806554e-10,-7.833365620713535e-21,-4.700019372428122e-21
2.173627537387114e-10,-7.874427785479282e-21,-4.7246566712875694e-21
2.1793171218996794e-10,-7.915705196341837e-21,-4.749423117805103e-21
2.1850215991992512e-10,-7.957198981612087e-21,-4.774319388967253e-21
2.1907410082684652e-10,-7.998910275515219e-21,-4.799346165309132e-21
2.1964753881920326e-10,-8.040840218222233e-21,-4.824504130933341e-21
2.202224778156944e-10,-8.082989955880668e-21,-4.849793973528401e-21
2.2079892174527636e-10,-8.125360640646112e-21,-4.875216384387668e-21
2.2137687454719255e-10,-8.167953430713904e-21,-4.900772058428343e-21
2.2195634017099484e-10,-8.210769490350396e-21,-4.926461694210238e-21
2.2253732257657322e-10,-8.253809989924967e-21,-4.952285993954981e-21
2.231198257341857e-10,-8.297076105942232e-21,-4.9782456635653404e-21
2.237038536244799e-10,-8.340569021073787e-21,-5.004341412644273e-21
2.2428941023852292e-10,-8.384289924190739e-21,-5.030573954514443e-21
2.2487649957783152e-10,-8.42824001039641e-21,-5.056944006237847e-21
